City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,carsamba,41.1989,36.7219,46.69,87,75,2.3,TR,1706714163
238,hami,42.8,93.45,23.4,62,57,5.37,CN,1706714164
239,betio village,1.358,172.9211,82.44,79,100,10.4,KI,1706714164
240,atafu village,-8.5421,-172.5159,83.59,73,97,4.76,TK,1706714164
241,siavonga,-16.5382,28.7088,82.6,63,7,4.76,ZM,1706714164
242,awjilah,29.1081,21.2869,56.97,30,16,16.91,LY,1706714164
243,mahdia,35.5047,11.0622,60.6,46,0,5.06,TN,1706714165
244,cadale,2.7603,46.3222,80.42,79,59,15.93,SO,1706714026
245,nagqu,31.5,92.0,19.24,35,89,5.39,CN,1706714165
246,san miguel de cauri,-10.1,-76.5833,52.09,71,100,3.58,PE,1706714165
247,kristiansund,63.1115,7.732,48.85,57,75,23.02,NO,1706714166
248,port lincoln,-34.7333,135.8667,61.27,83,0,10.67,AU,1706714166
249,fuglafjordur,62.244,-6.814,37.87,74,80,51.47,FO,1706714166
250,laojunmiao,39.8333,97.7333,19.53,46,36,5.01,CN,1706714166
251,yelizovo,53.1873,158.3805,2.8,54,0,11.18,RU,1706714166
252,gumdag,39.2061,54.5906,41.38,61,30,10.74,TM,1706714167
253,atasu,48.6814,71.6433,14.18,94,100,14.07,KZ,1706714167
254,jaguariaiva,-24.2511,-49.7058,86.11,33,1,7.76,BR,1706714167
255,geraldton,-28.7667,114.6,75.61,64,50,4.61,AU,1706714167
256,weno,7.4515,151.8468,80.55,78,75,11.5,FM,1706714168
257,ban ao nang,8.0458,98.8103,79.0,76,98,14.38,TH,1706714168
258,nadvoitsy,63.8667,34.3167,32.25,93,100,11.65,RU,1706714168
259,mahbubnagar,16.7333,77.9833,77.16,35,13,3.0,IN,1706714168
260,uribia,11.7139,-72.266,86.61,54,45,14.52,CO,1706714168
261,kitui,-1.367,38.0106,73.29,71,88,7.72,KE,1706714169
262,okhotsk,59.3833,143.3,-7.35,78,100,14.16,RU,1706714169
263,sitka,57.0531,-135.33,37.29,60,75,17.27,US,1706714169
264,daru,-9.0763,143.2092,79.2,89,26,7.76,PG,1706714169
265,east end,34.5507,-92.341,44.62,80,0,1.99,US,1706714170
266,port alfred,-33.5906,26.891,79.41,77,99,27.02,ZA,1706714170
267,robore,-18.3333,-59.75,89.69,62,20,11.5,BO,1706714170
268,santa luzia,-19.7697,-43.8514,80.94,70,75,3.44,BR,1706714170
269,avarua,-21.2078,-159.775,73.45,94,93,1.14,CK,1706714170
270,olonkinbyen,70.9221,-8.7187,23.88,63,100,26.75,SJ,1706713898
271,howrah,22.5892,88.3103,73.4,83,75,0.0,IN,1706714171
272,colonia,50.9333,6.95,46.96,66,100,9.22,DE,1706714003
273,wanning,18.8003,110.3967,69.82,89,1,4.76,CN,1706714171
274,the pas,53.8251,-101.2541,35.02,82,35,13.62,CA,1706713891
275,whitehorse,60.7161,-135.0538,12.97,48,0,4.61,CA,1706714177
276,swakopmund,-22.6833,14.5333,68.99,79,53,10.0,NA,1706714013
277,nizhneangarsk,55.7833,109.55,-16.01,90,4,1.99,RU,1706714177
278,salalah,17.0151,54.0924,78.89,78,20,9.22,OM,1706714178
279,yerkoy,39.6381,34.4672,34.29,67,0,7.85,TR,1706714178
280,hithadhoo,-0.6,73.0833,82.45,76,24,8.59,MV,1706713922
281,happy valley-goose bay,53.3168,-60.3315,25.11,54,75,10.36,CA,1706714178
282,allapalli,19.4167,80.0667,74.26,44,52,4.12,IN,1706714178
283,arauca,7.0847,-70.7591,89.56,55,20,6.91,CO,1706714179
284,zharkent,44.1628,80.0,25.45,97,100,2.1,KZ,1706714179
285,el galpon,-25.3807,-64.6526,98.24,26,21,3.02,AR,1706714179
286,hadibu,12.65,54.0333,78.33,75,59,8.25,YE,1706714179
287,argo,37.6333,22.7333,50.79,55,30,11.95,GR,1706714180
288,yichun,47.7,128.9,-18.2,99,82,4.12,CN,1706714180
289,dame-marie,18.5667,-74.4167,78.35,67,17,3.22,HT,1706714180
290,verkhniy ufaley,56.0567,60.2306,13.77,98,98,3.29,RU,1706714180
291,selfoss,63.9331,-20.9971,30.04,73,87,40.4,IS,1706714181
292,minas de marcona,-15.2119,-75.1103,72.16,63,82,9.75,PE,1706713960
293,mont-dore,-22.2833,166.5833,76.98,77,65,5.17,NC,1706714181
294,rapar,23.5667,70.6333,75.83,54,95,5.7,IN,1706714181
295,swift current,50.2834,-107.8014,38.21,87,0,11.5,CA,1706714182
296,na wa,17.4897,104.1006,73.44,53,79,3.67,TH,1706714182
297,mabai,23.0128,104.4508,49.71,99,12,3.78,CN,1706714182
298,pacific grove,36.6177,-121.9166,59.09,83,0,8.99,US,1706714182
299,la passe,45.5549,-0.8967,62.83,72,7,2.62,FR,1706714183
300,pangody,65.85,74.4859,-13.23,97,9,10.51,RU,1706714183
301,sur,22.5667,59.5289,76.35,64,94,3.38,OM,1706714183
302,alice springs,-23.7,133.8833,83.21,14,45,7.0,AU,1706714184
303,romblon,12.5751,122.2708,78.67,82,100,16.37,PH,1706714184
304,itaituba,-4.2761,-55.9836,87.96,74,40,5.75,BR,1706714184
305,malvan,16.0667,73.4667,76.21,71,80,9.15,IN,1706714184
306,klaksvik,62.2266,-6.589,38.32,71,58,55.92,FO,1706714184
307,kimberley,-28.7323,24.7623,71.29,78,75,8.05,ZA,1706714185
308,tutoia,-2.7619,-42.2744,84.78,73,98,11.1,BR,1706713885
309,adamovka,51.5223,59.9396,14.83,93,100,10.94,RU,1706714185
310,la ronge,55.1001,-105.2842,37.62,69,40,10.36,CA,1706714186
311,sao vicente,-23.9631,-46.3919,92.26,62,100,5.75,BR,1706714149
312,lompoc,34.6391,-120.4579,49.51,93,0,0.0,US,1706714190
313,saipan,15.1355,145.701,77.7,65,40,20.71,MP,1706714190
314,great falls,47.5002,-111.3008,43.99,47,0,14.97,US,1706714191
315,jabor,5.921,169.6434,81.73,80,100,12.24,MH,1706714191
316,lebu,-37.6167,-73.65,65.75,69,16,12.62,CL,1706714191
317,tabou,4.423,-7.3528,85.69,70,37,10.89,CI,1706714191
318,kavaratti,10.5669,72.642,82.09,68,68,8.32,IN,1706714192
319,hakodate,41.7758,140.7367,35.91,80,78,9.22,JP,1706714192
320,banda aceh,5.5577,95.3222,79.2,85,70,9.35,ID,1706714192
321,monitos,8.25,-76.05,82.15,74,100,6.98,CO,1706714192
322,al ghayzah,16.2079,52.176,77.59,75,59,14.05,YE,1706714193
323,missoula,47.0166,-113.8009,25.84,87,96,2.57,US,1706714193
324,rohru,31.2167,77.75,42.26,87,100,4.38,IN,1706714194
325,vilyuchinsk,52.9306,158.4028,2.93,72,88,8.68,RU,1706714194
326,gusev,54.5922,22.1997,41.14,94,100,14.5,RU,1706714194
327,forster,-32.1667,152.5167,64.29,100,0,1.74,AU,1706714194
328,taroa,8.7058,171.2275,80.8,84,85,14.67,MH,1706714195
329,chamba,32.5667,76.1333,48.65,82,94,4.38,IN,1706714195
330,sisimiut,66.9395,-53.6735,-3.69,87,97,8.88,GL,1706714195
331,tynda,55.1667,124.7167,-22.2,96,100,3.4,RU,1706714195
332,price,39.5994,-110.8107,27.66,86,0,0.0,US,1706714195
333,bartica,6.4,-58.6167,84.52,75,99,4.47,GY,1706714196
334,newnham,-41.3833,147.1333,60.67,55,75,11.5,AU,1706714196
335,encheng,22.1839,112.3026,67.3,89,27,2.82,CN,1706714196
336,kuanda,56.3161,116.0806,-29.06,95,47,1.12,RU,1706714196
337,bahia de kino,28.8333,-111.9333,61.52,65,0,6.26,MX,1706714046
338,berezovyy,51.6667,135.7,-13.76,96,23,2.93,RU,1706714197
339,vilyuysk,63.7553,121.6247,-32.01,100,97,3.0,RU,1706714197
340,galle,6.0367,80.217,79.25,83,100,3.11,LK,1706714102
341,nizhnesortymskiy,62.4397,71.7603,9.46,95,100,9.95,RU,1706714197
342,nampa,43.5407,-116.5635,44.82,84,0,21.85,US,1706714198
343,lugoba,-6.45,38.3333,79.77,84,96,6.06,TZ,1706714198
344,keren,15.7778,38.4581,73.62,48,55,4.76,ER,1706714198
345,tommot,58.9564,126.2925,-12.55,97,100,6.85,RU,1706714176
346,bani suwayf,29.0744,31.0979,57.85,39,94,9.57,EG,1706714198
347,naantali,60.4674,22.0243,34.43,100,100,11.5,FI,1706714203
348,ulladulla,-35.35,150.4667,66.78,86,89,2.93,AU,1706714203
349,tolanaro,-25.0319,46.9987,74.86,87,97,14.99,MG,1706714204
350,salekhard,66.53,66.6019,-3.33,100,100,4.03,RU,1706714204
351,kerikeri,-35.2268,173.9474,62.91,89,16,5.01,NZ,1706714204
352,luoyang,34.6836,112.4536,34.29,94,100,12.15,CN,1706714204
353,archangelos,36.2149,28.1149,56.3,52,74,6.82,GR,1706714205
354,praia da vitoria,38.7333,-27.0667,61.75,89,45,7.87,PT,1706713933
355,taoudenni,22.6783,-3.9836,82.13,10,0,9.22,ML,1706714205
356,priozersk,61.0393,30.1291,33.01,86,100,8.21,RU,1706714205
357,luchegorsk,46.4764,134.2569,-13.14,89,80,6.2,RU,1706714205
358,kapuskasing,49.4169,-82.4331,33.89,93,100,11.5,CA,1706714079
359,korla,41.7597,86.1469,25.59,70,97,7.72,CN,1706714206
360,suoyarvi,62.0833,32.35,30.74,98,100,6.82,RU,1706714206
361,amahai,-3.3333,128.9167,79.95,86,97,3.33,ID,1706714206
362,chateau-du-loir,47.6949,0.4185,59.56,77,99,5.68,FR,1706714206
363,newman,37.3138,-121.0208,57.25,83,99,1.01,US,1706714207
364,san patricio,28.017,-97.5169,57.04,71,100,1.61,US,1706714207
365,katsuura,35.1333,140.3,60.87,85,76,21.88,JP,1706714207
366,belyy yar,53.6039,91.3903,-14.91,91,88,0.0,RU,1706714207
367,qaqortoq,60.7167,-46.0333,31.28,98,100,22.75,GL,1706714207
368,cabedelo,-6.9811,-34.8339,90.27,58,68,13.65,BR,1706714208
369,la trinite,14.7376,-60.9629,86.05,66,75,4.61,MQ,1706714208
370,remire-montjoly,4.9167,-52.2667,86.04,70,75,18.41,GF,1706714208
371,taro,-8.3862,115.28,71.6,93,100,1.25,ID,1706714208
372,timbuktu,16.7735,-3.0074,87.58,9,45,12.33,ML,1706714208
373,dudinka,69.4058,86.1778,-4.32,84,80,21.0,RU,1706714209
374,juegang,32.3174,121.1855,46.87,99,100,4.81,CN,1706714209
375,yola,9.2,12.4833,97.43,9,4,7.58,NG,1706714209
376,ola,59.5833,151.2833,-11.7,88,100,5.77,RU,1706713993
377,brisas de zicatela,15.8369,-97.0419,79.32,78,0,0.0,MX,1706714209
378,metlili chaamba,32.2667,3.6333,59.99,28,98,9.37,DZ,1706714210
379,mount isa,-20.7333,139.5,76.77,94,100,3.44,AU,1706714210
380,vila franca do campo,37.7167,-25.4333,64.89,99,23,3.58,PT,1706713932
381,masina,-4.3836,15.3914,79.14,88,40,0.0,CD,1706714210
382,kulpsville,40.2429,-75.3366,38.73,85,100,4.61,US,1706714211
383,sodankyla,67.4167,26.6,30.29,90,100,13.2,FI,1706714211
384,primero de mayo,-32.2552,-58.4228,93.54,24,0,3.67,AR,1706714211
385,crane,31.3974,-102.3501,52.14,55,98,7.2,US,1706714211
386,bundibugyo,0.7414,30.0417,89.82,30,97,6.98,UG,1706714211
387,nova sintra,14.8667,-24.7167,69.48,61,0,15.39,CV,1706714212
388,georgievka,49.3314,81.5761,14.4,85,100,11.36,KZ,1706714212
389,talas,38.6908,35.5538,38.07,56,20,12.66,TR,1706714212
390,madinat ash shamal,26.1293,51.2009,69.6,68,88,9.26,QA,1706714212
391,lodwar,3.1191,35.5973,93.45,31,100,16.08,KE,1706714212
392,ginir,7.1333,40.7,74.19,34,41,13.11,ET,1706714213
393,saint-philippe,-21.3585,55.7679,80.19,85,53,12.15,RE,1706714213
394,macomb,40.4592,-90.6718,35.83,89,100,10.0,US,1706713952
395,moranha,27.1833,94.9333,60.15,64,45,2.15,IN,1706714213
396,tremonton,41.7119,-112.1655,30.0,88,0,0.0,US,1706714213
397,tamanrasset,22.785,5.5228,73.31,14,0,5.75,DZ,1706714045
398,zaprudnya,56.5667,37.4333,32.81,95,100,5.88,RU,1706714214
399,quellon,-43.1167,-73.6167,58.01,99,100,3.8,CL,1706714214
400,labe,11.3182,-12.2833,89.02,12,98,4.38,GN,1706714214
401,sinnar,13.5691,33.5672,85.8,10,93,15.43,SD,1706714214
402,solleftea,63.1667,17.2667,8.46,76,100,9.64,SE,1706714215
403,bakchar,57.0186,82.0711,-0.9,99,92,4.52,RU,1706714215
404,'ain abid,36.2319,6.9433,58.87,43,41,5.7,DZ,1706714215
405,paita,-5.0892,-81.1144,76.78,79,100,7.94,PE,1706714216
406,zeya,53.75,127.2667,-16.51,94,19,3.69,RU,1706714216
407,arish,31.1316,33.7984,58.24,38,4,6.33,EG,1706714216
408,antofagasta,-23.65,-70.4,76.53,62,14,8.08,CL,1706714021
409,revda,56.801,59.9303,18.64,97,100,4.18,RU,1706714216
410,san bernardo del viento,9.3533,-75.9524,82.62,74,98,12.03,CO,1706714123
411,peace river,56.2501,-117.286,25.11,93,20,5.75,CA,1706714217
412,ingeniero jacobacci,-41.3427,-69.5448,75.88,21,14,12.93,AR,1706714217
413,kyren,51.6828,102.1408,-4.05,89,27,1.99,RU,1706714217
414,vernon,50.2581,-119.2691,43.29,96,100,2.3,CA,1706714176
415,shiyan,32.6475,110.7781,38.55,98,100,5.39,CN,1706714218
416,grand gaube,-20.0064,57.6608,82.8,82,15,3.0,MU,1706714218
417,caleta de carquin,-11.0925,-77.6267,77.52,75,100,8.52,PE,1706714218
418,micheweni,-4.9667,39.8333,83.44,75,95,12.8,TZ,1706714218
419,moree,-29.4667,149.85,78.3,65,55,12.33,AU,1706714219
420,flin flon,54.7682,-101.865,37.24,88,100,12.26,CA,1706713947
421,issoire,45.55,3.25,58.26,67,84,2.15,FR,1706714219
422,lere,10.387,8.5726,87.33,14,87,9.26,NG,1706714220
423,blackwater,-23.5833,148.8833,79.68,66,97,9.98,AU,1706714220
424,qui nhon,13.7667,109.2333,71.8,90,51,1.32,VN,1706714220
425,ponta delgada,37.7333,-25.6667,65.19,72,20,8.05,PT,1706714220
426,golere,16.2557,-14.1017,94.12,7,0,12.1,SN,1706714221
427,akwanga,8.9167,8.3833,97.74,13,61,4.59,NG,1706714221
428,karis,60.0718,23.6616,36.63,90,100,9.15,FI,1706714221
429,nombre de dios,23.85,-104.2333,49.55,40,100,2.06,MX,1706714221
430,berdigestyakh,62.0989,126.6992,-23.03,98,100,3.85,RU,1706714222
431,port macquarie,-31.4333,152.9167,68.9,84,4,0.94,AU,1706714222
432,kyshtovka,56.555,76.6271,5.34,95,100,5.99,RU,1706714222
433,senador pompeu,-5.5881,-39.3717,97.95,32,4,6.4,BR,1706714222
434,teknaf,20.8624,92.3058,65.88,65,80,7.94,BD,1706714222
435,lamu,-2.2717,40.902,84.42,78,94,11.88,KE,1706714095
436,nambucca heads,-30.65,153.0,70.16,81,52,4.12,AU,1706714223
437,plettenberg bay,-34.0527,23.3716,79.18,60,92,3.91,ZA,1706714223
438,sena madureira,-9.0656,-68.6569,76.59,97,100,1.66,BR,1706714224
439,pekanbaru,0.5333,101.45,82.72,78,20,5.75,ID,1706714224
440,xapuri,-10.6517,-68.5044,75.67,98,100,0.89,BR,1706714224
441,balqash,46.8481,74.995,17.76,91,100,9.01,KZ,1706714225
442,castillos,-34.1667,-53.8333,86.31,34,99,3.44,UY,1706714225
443,high river,50.5834,-113.8687,34.09,85,82,2.37,CA,1706714192
444,mossel bay,-34.1831,22.146,80.53,71,19,7.92,ZA,1706714225
445,jinghong,21.991,100.7341,58.5,49,1,3.11,CN,1706714228
446,san jose del cabo,23.0589,-109.6977,74.77,72,20,0.0,MX,1706714228
447,isafjordur,66.0755,-23.124,26.64,68,20,3.44,IS,1706714228
448,alta,69.9689,23.2717,31.26,69,0,12.66,NO,1706714229
449,sand springs,36.1398,-96.1089,51.24,81,0,1.99,US,1706714229
450,kerch,45.3583,36.4758,36.55,96,95,11.99,UA,1706714229
451,naze,28.3667,129.4833,61.72,84,37,4.43,JP,1706714229
452,brod,45.1375,17.9897,43.27,60,100,1.59,BA,1706714230
453,kununurra,-15.7667,128.7333,82.38,89,94,0.0,AU,1706714118
454,mosjoen,65.836,13.1908,44.71,87,75,13.0,NO,1706714230
455,arraias,-12.9288,-46.9437,73.22,86,100,1.86,BR,1706714230
456,brownfield,33.1812,-102.2744,45.95,45,98,4.29,US,1706714231
457,isangel,-19.55,169.2667,76.91,84,85,4.45,VU,1706714231
458,chinde,26.8418,88.0763,48.51,54,80,4.21,NP,1706714231
459,albardon,-31.4372,-68.5256,92.03,29,6,5.23,AR,1706714231
460,sechura,-5.5569,-80.8222,80.11,70,100,7.47,PE,1706714232
461,santiago de cao,-7.9589,-79.2392,77.13,78,40,12.66,PE,1706714232
462,desarmes,18.9917,-72.3889,85.59,58,7,1.41,HT,1706714232
463,dakhla,23.6848,-15.958,75.22,38,0,10.36,EH,1706714232
464,zhezqazghan,47.7833,67.7667,14.58,85,100,24.61,KZ,1706714232
465,carbonear,47.7332,-53.2148,25.14,79,97,11.7,CA,1706714233
466,egersund,58.4513,5.9997,41.38,92,100,26.42,NO,1706714233
467,la sarre,48.8002,-79.1996,30.99,95,100,10.47,CA,1706714233
468,rongelap,11.1635,166.8941,79.45,77,100,21.88,MH,1706714233
469,sittwe,20.15,92.9,68.99,67,7,8.93,MM,1706714234
470,venev,54.3553,38.2684,29.88,91,100,10.11,RU,1706714234
471,aykhal,66.0,111.5,-12.73,100,97,3.47,RU,1706714234
472,sitangkai,4.6628,119.3928,80.69,86,100,15.01,PH,1706714234
